m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.01,0.005,-0.015,0.07,0.125,-0.01,0.01,0.035,-0.08,-0.005
0.115,0.075,0.12,0.12,-0.01,0.085,0.075,0.04,-0.115,0.035
0.24,0.14,0.06,0.22,-0.03,0.05,0.085,0.06,-0.12,0.045
0.225,0.02,-0.045,0.275,-0.08,0.08,-0.005,0.135,-0.145,0.1
0.275,0.06,-0.08,0.2,-0.13,-0.005,-0.055,0.08,-0.18,0.135
0.415,0.05,-0.095,0.3,-0.155,-0.04,-0.085,-0.015,-0.17,0.09
0.405,-0.005,-0.085,0.255,-0.2,0.005,-0.17,0.025,-0.215,0.14
0.34,-0.07,-0.035,0.265,-0.125,0.09,-0.275,-0.015,-0.195,0.075
0.515,-0.015,-0.035,0.31,-0.1,0.115,-0.26,-0.115,-0.175,0.045
0.555,-0.01,-0.045,0.29,-0.06,0.07,-0.25,-0.14,-0.205,0.03
0.6,0.04,-0.05,0.31,-0.05,0.125,-0.235,-0.155,-0.21,-0.01
0.63,0.055,-0.025,0.3,-0.105,0.135,-0.22,-0.155,-0.125,-0.075
0.635,0.035,-0.07,0.28,-0.14,0.12,-0.215,-0.2,-0.06,0.025
0.745,0.01,-0.085,0.285,-0.205,0.115,-0.19,-0.215,-0.035,0.025
0.745,0.025,-0.095,0.305,-0.135,0.115,-0.24,-0.22,0.12,0.055
0.765,-0.05,-0.115,0.295,-0.085,0.12,-0.385,-0.22,0.125,0.11
0.755,0.08,-0.155,0.33,-0.1,0.07,-0.47,-0.18,0.075,0.08
0.815,0.105,-0.07,0.335,-0.025,0.07,-0.5,-0.185,0.12,0.08
0.81,0.125,-0.185,0.37,-0.03,-0.01,-0.485,-0.145,0.16,0.04
0.8,0.19,-0.215,0.42,0.0,-0.04,-0.525,-0.105,0.235,0.115
0.76,0.205,-0.29,0.415,-0.055,-0.135,-0.515,-0.075,0.245,0.095
0.825,0.24,-0.31,0.38,-0.09,-0.195,-0.485,-0.08,0.235,0.07
0.79,0.225,-0.3,0.415,-0.045,-0.16,-0.51,-0.15,0.235,0.02
0.82,0.19,-0.325,0.465,-0.075,-0.25,-0.455,-0.18,0.21,0.12
0.845,0.22,-0.39,0.385,-0.005,-0.32,-0.515,-0.12,0.325,0.145
0.87,0.24,-0.31,0.48,0.02,-0.325,-0.505,-0.07,0.365,0.18
0.885,0.27,-0.3,0.515,0.01,-0.285,-0.405,-0.1,0.415,0.225
0.835,0.225,-0.24,0.445,0.1,-0.355,-0.345,-0.125,0.46,0.235
0.815,0.305,-0.31,0.52,0.055,-0.375,-0.405,-0.24,0.485,0.315
0.815,0.405,-0.335,0.545,0.13,-0.43,-0.395,-0.215,0.48,0.34
0.745,0.445,-0.345,0.54,0.11,-0.455,-0.43,-0.18,0.455,0.29
0.76,0.46,-0.385,0.555,0.1,-0.5,-0.465,-0.15,0.545,0.32
0.75,0.5,-0.35,0.635,0.095,-0.54,-0.515,-0.115,0.525,0.31
0.76,0.48,-0.37,0.63,0.09,-0.52,-0.555,-0.07,0.545,0.355
0.74,0.49,-0.415,0.625,0.22,-0.62,-0.57,-0.055,0.57,0.355
0.745,0.475,-0.435,0.6,0.225,-0.56,-0.625,-0.04,0.575,0.37
0.795,0.505,-0.475,0.525,0.225,-0.625,-0.72,-0.02,0.58,0.39
0.81,0.53,-0.55,0.645,0.235,-0.665,-0.765,0.02,0.595,0.39
0.83,0.54,-0.61,0.675,0.24,-0.63,-0.76,0.06,0.685,0.385
0.86,0.565,-0.6,0.66,0.22,-0.6,-0.755,0.065,0.67,0.395
0.92,0.59,-0.55,0.625,0.25,-0.605,-0.775,0.035,0.69,0.3
0.925,0.56,-0.515,0.695,0.205,-0.615,-0.695,0.02,0.695,0.3
0.865,0.655,-0.63,0.675,0.205,-0.615,-0.68,0.0,0.65,0.265
0.87,0.66,-0.665,0.65,0.255,-0.67,-0.735,-0.02,0.765,0.19
0.85,0.7,-0.695,0.645,0.27,-0.68,-0.695,-0.015,0.76,0.12
0.82,0.665,-0.75,0.61,0.325,-0.69,-0.705,0.02,0.74,0.105
0.865,0.65,-0.755,0.585,0.395,-0.655,-0.66,0.015,0.755,0.03
0.85,0.595,-0.73,0.62,0.365,-0.71,-0.695,0.04,0.74,0.02
0.84,0.685,-0.71,0.655,0.365,-0.695,-0.69,-0.01,0.79,-0.06
0.855,0.685,-0.755,0.665,0.44,-0.68,-0.69,0.025,0.795,-0.05
0.84,0.75,-0.755,0.675,0.445,-0.695,-0.76,0.035,0.855,-0.045
0.815,0.715,-0.81,0.72,0.435,-0.765,-0.745,0.1,0.81,0.005
0.81,0.685,-0.855,0.685,0.515,-0.71,-0.71,0.06,0.845,0.055
0.735,0.63,-0.88,0.775,0.455,-0.77,-0.775,0.025,0.81,0.08
0.77,0.62,-0.84,0.81,0.435,-0.755,-0.795,0.055,0.825,0.045
0.765,0.57,-0.78,0.79,0.475,-0.785,-0.76,0.06,0.85,0.05
0.805,0.535,-0.785,0.765,0.47,-0.795,-0.765,0.045,0.78,0.11
0.855,0.5,-0.79,0.72,0.475,-0.75,-0.765,0.06,0.72,0.19
0.87,0.46,-0.755,0.66,0.485,-0.795,-0.665,0.065,0.675,0.295
0.845,0.46,-0.81,0.69,0.54,-0.84,-0.615,0.02,0.745,0.4
0.86,0.44,-0.835,0.625,0.56,-0.835,-0.615,-0.01,0.705,0.335
0.865,0.435,-0.845,0.655,0.625,-0.805,-0.635,-0.055,0.705,0.43
0.855,0.395,-0.82,0.63,0.69,-0.79,-0.65,0.035,0.655,0.455
0.84,0.41,-0.78,0.655,0.665,-0.81,-0.64,0.0,0.65,0.43
0.825,0.405,-0.8,0.645,0.67,-0.785,-0.67,-0.01,0.575,0.46
0.825,0.425,-0.765,0.635,0.695,-0.815,-0.62,-0.05,0.595,0.44
0.815,0.4,-0.795,0.57,0.64,-0.82,-0.675,-0.065,0.565,0.445
0.88,0.405,-0.755,0.575,0.69,-0.825,-0.675,-0.055,0.535,0.42
0.87,0.37,-0.775,0.535,0.615,-0.85,-0.615,-0.07,0.495,0.42
0.905,0.295,-0.79,0.545,0.56,-0.895,-0.665,-0.095,0.515,0.485
0.855,0.33,-0.83,0.525,0.645,-0.885,-0.595,-0.15,0.555,0.505
0.82,0.24,-0.83,0.595,0.645,-0.9,-0.53,-0.12,0.58,0.5
0.815,0.26,-0.88,0.55,0.67,-0.885,-0.58,-0.205,0.61,0.495
0.775,0.255,-0.905,0.595,0.605,-0.845,-0.585,-0.17,0.65,0.5
0.78,0.29,-0.86,0.61,0.575,-0.87,-0.645,-0.165,0.63,0.45
0.8,0.265,-0.865,0.7,0.615,-0.865,-0.7,-0.18,0.655,0.44
0.78,0.25,-0.77,0.725,0.69,-0.825,-0.78,-0.16,0.655,0.56
0.775,0.245,-0.81,0.725,0.65,-0.8,-0.78,-0.17,0.68,0.57
0.795,0.245,-0.845,0.83,0.7,-0.8,-0.77,-0.155,0.67,0.535
0.795,0.145,-0.88,0.865,0.725,-0.84,-0.825,-0.17,0.7,0.58
0.86,0.19,-0.86,0.84,0.715,-0.84,-0.825,-0.105,0.635,0.605
0.805,0.14,-0.835,0.835,0.735,-0.78,-0.785,-0.165,0.635,0.565
0.795,0.24,-0.835,0.84,0.765,-0.79,-0.78,-0.145,0.59,0.63
0.72,0.19,-0.825,0.83,0.74,-0.855,-0.84,-0.105,0.485,0.63
0.75,0.13,-0.87,0.82,0.72,-0.865,-0.845,-0.11,0.43,0.655
0.73,0.09,-0.915,0.805,0.735,-0.895,-0.795,0.02,0.44,0.65
0.715,0.19,-0.885,0.84,0.735,-0.89,-0.745,0.02,0.385,0.7
0.595,0.18,-0.875,0.82,0.655,-0.895,-0.775,0.015,0.495,0.695
0.595,0.14,-0.88,0.805,0.66,-0.9,-0.775,0.05,0.485,0.815
0.57,0.175,-0.805,0.795,0.745,-0.865,-0.715,-0.02,0.495,0.825
0.62,0.145,-0.845,0.77,0.71,-0.87,-0.805,-0.045,0.565,0.785
0.66,0.045,-0.895,0.74,0.685,-0.895,-0.845,-0.06,0.52,0.785
0.715,0.07,-0.865,0.745,0.675,-0.86,-0.87,-0.075,0.55,0.745
0.725,0.06,-0.78,0.765,0.655,-0.84,-0.855,-0.04,0.565,0.765
0.665,0.08,-0.8,0.755,0.66,-0.835,-0.91,0.005,0.57,0.79
0.74,0.15,-0.81,0.77,0.735,-0.84,-0.81,-0.03,0.585,0.755
0.73,0.165,-0.81,0.755,0.75,-0.815,-0.84,-0.06,0.615,0.79
0.68,0.105,-0.81,0.775,0.695,-0.87,-0.785,-0.025,0.685,0.755
0.69,0.11,-0.805,0.77,0.705,-0.83,-0.75,-0.025,0.655,0.77
0.77,0.13,-0.86,0.84,0.74,-0.815,-0.745,0.01,0.6,0.725
0.825,0.175,-0.89,0.855,0.785,-0.81,-0.74,0.0,0.6,0.73
0.82,0.22,-0.915,0.855,0.755,-0.855,-0.78,-0.105,0.57,0.695
0.825,0.29,-0.905,0.805,0.765,-0.87,-0.825,-0.085,0.61,0.68
0.82,0.3,-0.915,0.805,0.79,-0.825,-0.765,-0.095,0.63,0.72
0.85,0.28,-0.9,0.825,0.825,-0.78,-0.745,-0.17,0.565,0.715
0.905,0.205,-0.825,0.76,0.89,-0.76,-0.75,-0.225,0.56,0.735
0.89,0.285,-0.815,0.76,0.85,-0.78,-0.77,-0.165,0.555,0.74
0.875,0.365,-0.875,0.8,0.86,-0.76,-0.745,-0.17,0.58,0.8
0.785,0.405,-0.86,0.73,0.865,-0.76,-0.795,-0.185,0.58,0.81
0.785,0.425,-0.885,0.67,0.92,-0.7,-0.805,-0.16,0.685,0.805
0.82,0.39,-0.885,0.66,0.915,-0.72,-0.72,-0.14,0.71,0.845
0.795,0.42,-0.91,0.67,0.865,-0.685,-0.675,-0.1,0.76,0.745
0.84,0.42,-0.885,0.605,0.8,-0.72,-0.68,-0.1,0.73,0.765
0.88,0.475,-0.845,0.565,0.845,-0.685,-0.725,-0.03,0.74,0.75
0.905,0.57,-0.85,0.67,0.835,-0.69,-0.71,0.015,0.825,0.775
0.865,0.595,-0.85,0.69,0.85,-0.765,-0.775,0.095,0.805,0.805
0.855,0.65,-0.835,0.625,0.78,-0.765,-0.77,0.07,0.735,0.84
0.825,0.65,-0.82,0.68,0.72,-0.65,-0.8,0.0,0.725,0.85
0.815,0.65,-0.775,0.68,0.61,-0.73,-0.745,0.05,0.765,0.87
0.83,0.7,-0.765,0.69,0.57,-0.745,-0.795,-0.055,0.775,0.835
0.83,0.7,-0.845,0.645,0.645,-0.78,-0.795,-0.005,0.825,0.845
0.8,0.74,-0.855,0.625,0.62,-0.85,-0.865,-0.05,0.835,0.81
0.825,0.81,-0.8,0.61,0.7,-0.855,-0.865,0.015,0.88,0.815
